Time (ms),Roll (deg),Pitch (deg),Yaw (deg),Roll Rate (deg/s),Pitch Rate (deg/s),Yaw Rate (deg/s),x_acceleration (ms-2),y_acceleration (ms-2),z_acceleration (ms-2),Velocity (ms-1),Altitude (m),Temperature (C),State Detection,Pitch Response,Yaw Response,Relay State
142833,0.54,-0.52,-0.2,-3.58,0,0,-0.39,-0.7,-0.06,-0.28,-0.17,7.5,Preflight,90,90,
142900,0.54,-0.52,-0.2,-3.58,-3.58,3.58,-0.4,-0.71,-0.06,-0.21,-0.15,7.5,Igniter Activated,90,90,
142963,0.54,-0.52,-0.2,3.58,7.16,-3.58,-0.37,-0.69,-0.07,-0.19,-0.16,7.5,,90,90,
143029,0.54,-0.52,-0.2,0,-7.16,-7.16,-0.39,-0.7,-0.06,-0.19,-0.17,7.5,,90,90,
143096,0.54,-0.52,-0.2,0,-3.58,0,-0.39,-0.72,-0.04,-0.08,-0.13,7.5,,90,90,
143163,0.54,-0.52,-0.2,-10.74,0,3.58,-0.44,-0.68,-0.01,0.48,0.12,7.5,,90,90,
143228,0.37,-1.21,0.2,-168.31,-1618.61,948.96,0.58,0.22,16.1,1.09,0.42,7.5,,86,92,
143293,0.04,-2.24,0.14,-121.75,-211.28,-752.01,0.05,0.14,28.97,1.12,0.51,7.5,,85,90,
143356,-0.34,-3.22,-0.63,-762.75,-845.11,-816.46,-1.37,1.03,29.6,1.3,0.65,7.5,,83,88,
143422,-1.57,-4.14,-1.66,-1106.52,-1056.39,-1038.49,3.17,0.02,29.8,1.69,0.91,7.5,Launch Detected,81,86,
143495,-0.8,-8.31,-3.37,637.42,-5421.61,-1367.94,-0.29,3.16,29.98,2.08,1.23,7.5,,71,82,
143559,0.88,-16.31,-4.92,1217.54,-11383.96,-927.48,-6.61,4.45,29.17,3.05,1.79,7.5,,71,80,
143630,4.47,-31.92,-7.42,1489.69,-15996.26,-709.04,-18.44,5.18,24.8,4.77,2.84,7.5,,71,78,
