Time (ms),Roll (deg),Pitch (deg),Yaw (deg),Roll Rate (deg/s),Pitch Rate (deg/s),Yaw Rate (deg/s),x_acceleration (ms-2),y_acceleration (ms-2),z_acceleration (ms-2),Velocity (ms-1),Altitude (m),Temperature (C),State Detection,Pitch Response,Yaw Response,Relay State
123851,7.2,-0.79,-0.41,-7.16,-3.58,-3.58,-0.34,-0.41,0,-0.13,0.35,20.6,Preflight,90,90,
123917,7.2,-0.79,-0.41,0,0,3.58,-0.36,-0.41,-0.02,-0.03,0.38,20.6,,90,90,
123985,7.2,-0.79,-0.41,0,3.58,0,-0.35,-0.43,-0.01,0.01,0.4,20.6,,90,90,
124050,7.2,-0.79,-0.41,7.16,-7.16,3.58,-0.35,-0.42,-0.02,-0.1,0.35,20.6,,90,90,
124115,7.2,-0.79,-0.41,-10.74,-3.58,0,-0.4,-0.42,-0.04,-0.06,0.36,20.6,,90,90,
124180,7.2,-0.79,-0.41,-14.32,-10.74,7.16,-0.35,-0.43,0.08,1.02,0.84,20.6,,90,90,Igniter Activated
124242,7.85,-0.93,-0.35,1983.87,-705.45,304.38,-2.02,1.48,29.72,1.75,1.21,20.6,,88,91,
124307,13.3,-0.81,0.51,7570.2,981.19,698.29,-2.42,-0.45,29.72,2.02,1.45,20.6,,90,93,
124467,41.6,1.11,3.61,9822.64,1704.55,2556.82,-0.42,0.76,29.9,2.26,2.03,20.6,Launch Detected,95,100,
124536,50.83,2.19,7.74,8064.38,1926.57,4898.79,3.22,-1.31,29.68,3.68,2.86,20.6,,99,112,
124600,58.97,2.83,14.9,5328.51,1815.56,6449.36,9.24,-3.55,28.53,5.56,3.92,20.6,,102,116,
124665,63.87,3,22.17,3770.78,1611.44,7269.4,16.07,-4.87,26.11,7.78,5.27,20.6,,103,116,
124731,68.71,2.28,31.42,4447.58,1113.69,7917.56,23.86,-6.16,21.57,10.29,6.91,20.6,,103,116,
124795,72.68,0.57,39.38,3677.67,612.35,7566.62,30.14,-7.53,15.95,13.24,8.87,20.5,,100,116,
124862,75.22,-1.1,47.75,1890.76,139.66,6657.05,35.73,-7.29,9.03,15.89,10.97,20.6,,97,116,
124926,76.07,-2.26,54.05,1683.06,-315.13,5926.53,38.31,-7.72,3.84,18.61,13.18,20.6,,94,116,
124992,76.4,-4.22,60.74,1389.42,-970.45,5439.52,40.09,-7.74,-1.53,21.35,15.64,20.6,,89,116,
125056,75.28,-4.68,66.06,-1922.99,-1310.64,4827.17,41.72,-8.87,-8.19,23.81,18.09,20.6,,86,116,
125122,72.7,-3.3,71.6,-1901.5,-1808.4,4171.85,41.33,-11.49,-13.48,24.66,20.04,20.5,,84,116,
125195,68.11,0.62,75.77,-6947.11,-3208.56,2653.51,12.16,-6.71,-28.42,24.91,21.96,20.6,,82,116,Igniter Deactivated
125262,61.42,11.26,76.68,-7978.44,-3484.3,-229.18,-2.38,-2.28,-28.16,24.64,23.51,20.6,,86,116,
125327,-0.49,-3.23,52.91,-3.58,-3.58,-13192.35,-10.33,0.51,-20.35,23.81,24.74,20.6,Burnout Detected,76,116,
125396,20.9,1.66,52.32,-7111.84,-25489.46,-3237.21,-19.4,-7.85,-14.74,23.95,26.45,20.6,,71,116,
125461,-1.96,-13.21,56.1,6080.51,-26982.73,5801.2,-17.12,-0.28,-18.74,25.01,28.48,20.6,,71,116,
125530,-33.66,-45.12,80.04,22921.89,-34484.89,3860.3,-20.91,2.43,-19.08,20,27.84,20.6,,71,116,
125596,-107.3,-51.3,138.41,14624.75,-39279.84,-5837.01,-22.55,2.99,-25.73,13.8,26.36,20.6,,71,116,
125660,-150.21,-22.51,150.63,12902.29,-36024.72,-21410.72,-17.18,6.88,-24.93,10.58,25.83,20.6,,71,116,
125726,179.78,-8.61,131.29,13256.81,-11906.78,-20959.51,-11.86,3.9,-18.95,8.18,25.44,20.6,,71,116,
125791,177.22,-21.22,120.49,9367.86,16404.5,-598.02,-9.81,6.24,-17.22,5.69,24.87,20.6,,71,116,
125858,-157.14,-39.11,123.62,-1840.63,25754.45,23935.31,-20.61,21.61,-27.38,4.16,24.55,20.6,,71,116,
125923,-134.88,-44.13,132.45,-5138.71,-4132.46,11709.82,-27.49,8.35,-25.08,3.48,24.52,20.6,,71,116,
125988,-139.74,-32.68,141.17,-3000.87,-12311.43,-1575.63,-15.25,5.35,-20.95,3.16,24.6,20.6,Apogee Detected,71,116,Nichrome Wire Heating ON
126861,-131.46,15.17,9.3,-805.72,11956.91,-3588.15,-1.68,0.18,-6.18,2.73,24.79,20.5,,75,103,
126926,-131.02,28.44,9.06,-2341.96,13632.81,2621.28,-2.1,-0.16,-5.78,2.56,24.89,20.5,,118,107,
127009,-131.32,46.91,16.32,-3892.53,12071.5,9099.29,-4.15,-0.98,-4.33,2.26,24.93,20.5,,139,116,
127074,-132.42,59.56,28.2,-4923.86,6997.25,12003.47,-5.72,-1.11,-4.99,1.86,24.91,20.5,,139,116,
127140,-138.57,65.27,34.52,-5346.41,-207.7,10470.8,-5.42,-0.22,-6.02,1.51,24.87,20.5,,139,116,
127206,-155.97,65.51,28.64,-4920.27,-5854.91,6134.23,-5.29,0.67,-5.94,1.15,24.8,20.5,,139,116,
127271,-172,59.44,17.28,-3684.83,-10101.96,-440.46,-5.01,1.22,-5.24,0.5,24.59,20.5,,131,116,
127341,177.55,47.38,4.83,-2263.18,-11308.75,-7161.97,-4.9,0.9,-3.59,-0.06,24.36,20.5,,101,115,
127407,175.16,35.4,-8.09,-1156.66,-8458.29,-11545.1,-4.43,-0.29,-2.29,-0.38,24.21,20.6,,80,78,
127470,175.49,29.94,-20.38,-948.96,-1983.87,-12085.83,-3.16,-1.39,-3.16,-0.65,24.07,20.6,,80,65,
127536,173.8,29.78,-33.92,-1224.7,2871.95,-8812.81,-2.36,-1.27,-4.71,-0.98,23.88,20.6,,92,65,
127600,168.41,33.17,-41.2,-1751.1,6556.79,-1708.13,-2.21,-1.38,-4.66,-1.51,23.58,20.5,,113,65,
127668,158.72,37.51,-43.09,-3015.19,7330.28,6696.44,-3.48,-1.48,-3.77,-1.99,23.26,20.6,,132,65,
127732,149.57,39.77,-38.33,-4562.18,4383.13,13188.77,-5.35,-1.81,-2.28,-2.75,22.8,20.6,,139,70,
127798,141.3,38.25,-26.99,-5575.6,-812.88,14123.41,-6.16,0.09,-0.99,-3.32,22.36,20.6,,135,105,
127861,136.54,32.56,-17.28,-5425.19,-5729.58,10546,-4.52,1.47,-1.04,-3.96,21.87,20.6,,116,116,
127924,133.26,23.81,-11.81,-4028.61,-8880.85,3047.42,-3.24,1.68,-0.64,-4.38,21.44,20.6,,92,116,
127993,131.4,13.12,-12.73,-2105.62,-7101.1,-4322.25,-2.53,0.97,0.2,-4.66,21.01,20.6,,73,108,
