Time (ms),Altitude (m),Velocity (ms-1),Acceleration (ms-2),State Detection
0,0,0,0,Preflight
0,-0.03,0.68,-10.03,
31.45,-0.26,-0.56,-9.37,
62.89,0.32,-1.13,-10.22,
94.34,0.19,0.8,-8.46,
125.79,0.35,-0.39,-9.53,
157.23,-0.06,-0.26,-10.57,
188.68,0.06,-1.11,-9.18,
220.13,-0.22,-0.32,-9.19,
251.57,0.04,0.49,-10.12,
283.02,-0.83,-0.53,-10.41,
314.47,0.19,-0.23,-10.58,
345.91,-0.03,0.33,-9.91,
377.36,0.27,-0.89,-9.1,
408.81,-0.17,-1.1,-8.32,
440.25,-0.09,0.42,-8.68,
471.7,0.18,0.88,-11.49,
503.14,0.07,0.25,-11,
534.59,0.24,-1.62,-10.02,
566.04,0.02,-0.35,-10.33,
597.48,-0.11,-0.38,-6.98,
628.93,0.26,0.98,-7.71,
660.38,-0.02,-0.06,-9.11,
691.82,0.11,-0.47,-9.38,
723.27,0.06,0.15,-9.45,
754.72,0.26,0.26,-8.68,
786.16,0.36,0.41,-8.75,
817.61,-0.09,-0.34,-7.97,
849.06,0.11,0.08,-9.97,
880.5,-0.24,0.07,-8.78,
911.95,0.33,-0.66,-7.27,
943.4,0.3,-0.34,-7.62,
974.84,-0.15,0.16,-9.35,
1006.29,-0.21,-1.05,-10.43,
1037.74,0.06,-0.3,-10.72,
1069.18,0.04,-0.29,-10.81,
1100.63,0.41,0.34,-10.05,
1132.08,0.3,-0.12,-10.57,
1163.52,-0.34,-0.26,-11.04,
1194.97,-0.27,-0.29,-9.96,
1226.42,0.06,-1.83,-9.18,
1257.86,0.18,0.24,-8.95,
1289.31,0.12,0.07,-10.62,
1320.75,0.05,-2.25,-9.73,
1352.2,-0.01,-0.64,-11.16,
1383.65,-0.24,-1.44,-8.13,
1415.09,0.01,-0.13,-9.29,
1446.54,-0.05,0.09,-9.04,
1477.99,0.3,-0.31,-11.63,
1509.43,-0.61,-0.83,-8.48,
1540.88,-0.25,-1.21,-8.94,
1572.33,-0.33,0.2,-9.53,
1603.77,0.35,0.93,-8.88,
1635.22,-0.08,0.82,-10.73,
1666.67,0.4,1.05,-9.98,
1698.11,-0.24,2.16,-12.97,
1729.56,0.35,0.52,-10.35,
1761.01,0.06,-0.73,-8.23,
1792.45,-0.28,-0.03,-10.39,
1823.9,-0.44,-0.02,-12.19,
1855.35,-0.2,0.11,-8.72,
1886.79,-0.45,0.93,-9.94,
1918.24,0.33,0.24,-9.19,
1949.69,-0.14,-1.29,-9.83,
1981.13,-0.33,-0.57,-10.2,
2012.58,-0.24,-1.18,-10.95,
2044.03,0.45,0.52,-10.78,
2075.47,-0.09,0.94,-9.12,
2106.92,0.24,1.07,-10.76,
2138.36,0.45,-0.7,-8.96,
2169.81,-0.38,-0.47,-10.12,
2201.26,0.38,-0.03,-9.61,
2232.7,-0.17,-0.81,-9.75,
2264.15,-0.11,0.03,-11.75,
2295.6,0.47,0.17,-8.43,
2327.04,-0.22,-0.79,-11.59,
2358.49,-0.06,0.26,-9.38,
2389.94,0.17,-2.02,-9.63,
2421.38,-0.05,0.49,-7.54,
2452.83,-0.35,2.25,-10.29,
2484.28,0.06,-1.14,-9.54,
2515.72,0.07,0.41,-10.47,
2547.17,-0.25,-1.41,-8.64,
2578.62,0.29,1.36,-10.04,
2610.06,-0.04,-0.39,-9.38,
2641.51,-0.18,-0.69,-10.82,
2672.96,-0.13,1.26,-10.53,
2704.4,-0.89,0.48,-10.8,
2735.85,-0.49,-0.63,-10.84,
2767.3,-0.42,-0.57,-10.22,
2798.74,-0.21,1.05,-10.82,
2830.19,-0.02,0.75,-9.35,
2861.64,-0.5,-0.26,-8.88,
2893.08,-0.11,-0.31,-10.48,
2924.53,-0.06,0.68,-10.71,
2955.98,-0.32,-0.91,-10.84,
2987.42,0.22,-1.2,-10.17,
3018.87,0.17,-0.03,-11.37,
3050.31,-0.05,0.92,-7.7,
3081.76,0.3,0.33,-8.97,
3113.21,0.72,1.46,-9.62,
3144.65,-0.3,1.05,-8.93,
3176.1,-0.23,-0.93,-9.3,
3207.55,0.45,0.02,-9.08,
3238.99,-0.14,1.64,-11.41,
3270.44,0.09,0.92,-10.71,
3301.89,-0.26,0.94,-10.2,
3333.33,0,-1.48,-9.39,
3364.78,0.41,0.03,-8.31,
3396.23,-0.19,-0.9,-11.84,
3427.67,0.61,1.33,-8.25,
3459.12,0.18,0.4,-9.08,
3490.57,0.11,0.54,-9.59,
3522.01,0.06,-0.57,-12.37,
3553.46,-0.48,-0.06,-9.24,
3584.91,0.57,0.47,-8.2,
3616.35,-0.45,0.43,-10.53,
3647.8,-0.13,0.02,-9.1,
3679.25,-0.19,-0.21,-10.26,
3710.69,0.26,-1.53,-12.18,
3742.14,0.22,-0.14,-9.01,
3773.58,0.14,0.63,-11.83,
3805.03,-0.11,-0.09,-7.79,
3836.48,0.46,0.57,-8.82,
