Time (ms),Roll (deg),Pitch (deg),Yaw (deg),Roll Rate (deg/s),Pitch Rate (deg/s),Yaw Rate (deg/s),x_acceleration (ms-2),y_acceleration (ms-2),z_acceleration (ms-2),Velocity (ms-1),Altitude (m),Temperature (C),State Detection,Pitch Response,Yaw Response,Relay State
108280,8.84,-0.35,-0.8,0,-21.49,-14.32,-0.33,-0.41,-0.01,0.09,-0.01,18.3,,90,90,
108346,8.84,-0.36,-0.8,-7.16,3.58,0,-0.34,-0.42,-0.02,-0.08,-0.08,18.3,,90,90,
108414,8.84,-0.36,-0.8,-3.58,3.58,0,-0.33,-0.43,-0.02,-0.09,-0.1,18.3,,90,90,
108479,8.84,-0.36,-0.8,-3.58,-3.58,-3.58,-0.33,-0.43,-0.03,0.09,-0.02,18.3,,90,90,
108545,8.84,-0.36,-0.8,0,3.58,0,-0.34,-0.42,-0.01,-0.08,-0.09,18.3,,90,90,
108608,8.84,-0.36,-0.8,0,3.58,3.58,-0.35,-0.41,-0.01,-0.2,-0.15,18.3,,90,90,
108674,8.84,-0.36,-0.8,-7.16,0,0,-0.39,-0.44,-0.02,0.01,-0.07,18.3,,90,90,
108738,8.84,-0.36,-0.8,0,0,-10.74,-0.4,-0.39,-0.02,0.11,-0.02,18.3,,90,90,
108805,8.73,-0.37,-0.69,1124.43,-526.4,343.77,2.4,-0.43,29.49,0.45,0.14,18.3,,89,90,
108869,15.27,-0.35,-0.05,8766.25,444.04,823.63,-1.34,-0.2,29.75,0.72,0.29,18.3,,90,92,
108934,30.24,0.22,0.64,18169.92,694.71,820.05,-0.98,-2.26,29.75,1.06,0.49,18.3,,92,94,
109005,52.95,0.9,2.56,17926.42,1919.41,3341.06,-6.07,-0.66,30.07,1.68,0.86,18.3,Launch Detected,96,102,
109073,72.04,2.11,9.54,13500.32,3068.91,8257.75,0.96,-3.49,30.14,3.01,1.6,18.3,,102,116,
109138,86.16,2.41,22.09,9836.97,3799.43,11978.4,11.48,-4.2,28.35,5.33,2.83,18.3,,108,116,
109207,95.83,2.24,36.6,7129.74,5192.43,15552.22,24.65,-0.7,21.5,9.01,4.93,18.3,,115,116,
109271,106.71,0.77,56.62,8358.02,6567.53,17733.04,35.57,7.29,7.21,13.94,7.67,18.3,,122,116,
